index,pureTitle,caption,tagList,audioUrl,videoUrl
0,网曝旺仔牛奶喝出团状黑色异物,网曝旺仔牛奶喝出团状黑色异物 #旺仔牛奶 #食品安全 ,#旺仔牛奶 | #食品安全,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjUxMDE4MTE5XzE5Nzc2Mjk4MTc.m4a,http://v5.oskwai.com/ksc2/WATjzgIVv8y8A3b-jk1ZaX8lYTlYFs6b1Vw1rGDJqbqchuUfi-gQyWmt7LmdbTCboIlzXWrPQtQa2w-6ZXrz2nd5jCkq1tc3rO5DNY0aca4MknsGe8eKkarl_3oQxtH6.mp4?pkey=AAUy5QScqrY1mGHFywzQukPwN91WnKjqRYf4OnENXsSQsgRo4h9vDYWSyUSuF_Fu7QXrMEd5dJXiuLLQnf9k2l_Watc7Y6LWBWdYHpxA9dadjb_-LYlC2d9RAF04A58UfCY&tag=1-1732283529-scn-0-rsii1ardux-6dcf516152f65295&clientCacheKey=3xpve2ixjipgvdy_21e4bbeb&di=6766caa1&bp=10121&tt=v6UltraHQvG&ss=vp
1, 旺仔牛奶中喝出老鼠？集团高管回应，旺仔回应, 旺仔牛奶中喝出老鼠？集团高管回应，旺仔回应,,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjgzMzU2MTQ2XzE1NTY2NzEwMjc.m4a,http://v5.oskwai.com/ksc2/pUNp43aEbTGJDWEr_km6lYw-JvZpArsuZtdFAEx5ML6sfvu3yZsSphRkUGmaRv361vs8wqAGEJPNMV8xOnXYuqmItaLSH72D6cWERr-dBIpi-HZB4Rfx43DBq_clxhnP.mp4?pkey=AAVFYdcw-l2FLqCJewhx8i8X2G9tzP0eeV0jItXzXKwZOFZBfONSInRv13zO4SIf0WVM264BpG6snPeEBYCWWsHZ3tKTLe2JkGxlDQHfY65CHnafnU5cybCvpibGwX6gQ58&tag=1-1732283529-scn-0-iotubonzx7-fe4179e44bbf05d9&clientCacheKey=3xvqkngu566dack_ca9ddd16&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
2,第2集 | 病从口入？疑因豆奶结块变质，男子吃后住院？（二）,第2集｜病从口入？疑因豆奶结块变质，男子吃后住院？（二）,,http://ali2.a.yximgs.com/bs2/ost/MTY1ODEyNDk5NjhfMTM5NDM4ODg2Nw.m4a,http://v5.oskwai.com/ksc2/YVTwgzqgy1d0IFOBojH4UEPGoYgZAPiUFnSt_xwDvu5dCHkcaZN_rUE9XmAbNAnDUooes6426cKzfYpJJYNNTtaPMAgHmjG_FDb_UO5BYLGvkB1mNUPWLAv7t16cueEfzkGGLyCctfj8wZgfFxhEEcSKGrhOGdzp6I3So7R-CrT64iAaJy35P4eo9_Fi2rJh.mp4?pkey=AAWqAvC2ggYowUcxWaF46KExdRP_U8YgEqvKh36_qqiy7biegveF5ka5mLLs0isQwOPc_3Fz1cXqdiaSmBwWm2V06mCAly0hHMQ5By9CFnJ_9J6Aiq6ZketVY7LODb0Eo3A&tag=1-1732283541-scn-0-zor0jfgpzo-c71a3d4c3784a12e&clientCacheKey=3xc56v7ghrsnska_hd15.mp4&di=6766caa1&bp=10121&tt=hd15&ss=vp
3,#孩子在未过期的优酸乳内喝出白色棉花状异物 ,9月12日，河南信阳，#孩子在未过期的优酸乳内喝出白色棉花状异物 ，孩子母亲：打开一股异味像馊了一样，得亏孩子没喝多少。,#孩子在未过期的优酸乳内喝出白色棉花状异物,http://hw.a.yximgs.com/bs2/ost/MTEyOTIwNjQ1Njk5XzIxNTc2MDg2NTk.m4a,http://v5.oskwai.com/ksc2/4JefAvKZeICzdh3uAokPf7PSwIl1t80QnYTHE83YEeIW1ST1oSTON9K11YYHpaYrPtZlyWIDyNf8PrspFmLkiffvPDJGJz3yQuqoKZipqYLrPclSOzRFAUUvCUrY5fMEuaZrZ9T93l-pDnlMhnjaL49M2hwQGniL-K3WCh7wHIKmRiwfY_OEh6s-TPMbQr5u.mp4?pkey=AAWNKB2JGwj1Z7VBpudnl1_uB9TuyNcsdkMTADGBW_ddYiU1Mm84fJcwPb13WTvgzt6x8nKL6hXgan2d1DsZSPO83QcZsgOXd76atF53kttVKAS5iIxRwJ38IUWnsD54xWM&tag=1-1732283536-scn-0-rkrht4h12m-5a572bf242d4a093&clientCacheKey=3x28dvyt2ymwwca_v5UltraV8.mp4&di=6766caa1&bp=10121&tt=v5UltraV8&ss=vp
4,李女士(化名)在喝奶茶时喝出疑似毛线的异物。,近日，湖北武汉，李女士(化名)在喝奶茶时喝出疑似毛线的异物。李女士介绍，当时喝奶茶时从嘴里拉出一根很长的线，退款后店员打电话过来说是玫瑰茎，和店员争吵后李女士要求店长联系她。店长给她道歉称奶茶没有放多余的东西，应该是玫瑰酱的问题，店长随后将异物取走，说要给总部寄去检验。李女士称，碰见这种事情觉得挺恶心。店员回应称，这个异物不能说一定是他们的原因，具体原因公司检验之后才清楚。,,http://ali2.a.yximgs.com/bs2/ost/OTY3NzY3Nzk0MDJfMTU4MTA0MTQ0Mg.m4a,http://v5.oskwai.com/ksc2/7pLjLc2nB0Jl9JyUe4YvXxbE659HXxEINoFok9GzValptjoyyWjBeLWWddvNcwEqIBYeQF3jNzqGkZSLxS5t74lT6zCzo8S6-c6HG8ORZHlxgqXY4JDcld_5pfcgFBSnf6D4OQwXdmDwO5qHQKuU2-9gJfG2u1PeEtltMG2LMjgCGeX_46TEv8iw13lT9JVW.mp4?pkey=AAW4mrG5gkXUAHwyXgQC4foxqQ1PJnvT8lTH5HNS-M0qALSZ5HnUz_HRxqUjoz6EtcILk7B605mpjdKLDO0ehJVT5FhOHsovHJ1sPW6o7jarNluFSoiSD2J9LJEPanPjS08&tag=1-1732283535-scn-0-abu8hu44aq-c39c034784d551c0&clientCacheKey=3x38heepz8fw9g4_vnushighv2.mp4&di=6766caa1&bp=10121&tt=vnushighv2&ss=vp
5,喝了一天的旺仔牛奶 坏肚子了 ,喝了一天的旺仔牛奶 坏肚子了,,,
6,喜欢旺仔牛奶，那我会遇见盛旺吗？亲吻，冷淡又毒舌，顽固又克制，养猫取名旺仔，那我会遇见江天吗？常让我努力学习，篮球，打得好，会3千米长跑，喝醉，喜欢耍酒疯，表面坚强，内心又软又容易炸毛。,"好久之前的视频了，没来得及发。明天继续第三天考试，烦呐。
内容来自ks不是yc，是ys
 #倘若我偏要去寻书中的那个少年呢 #原耽",#倘若我偏要去寻书中的那个少年呢 | #原耽,http://hw.a.yximgs.com/bs2/ost/NzU2ODQ0MTQyNzZfMjM1MDU3NjM4MA.m4a,http://v5.oskwai.com/ksc2/RrIZ-dXju5r7MhOpLpqBq-l6911eprvXne23zohXobAe7jZYfQY6I8zw7XqK1YxMcKFGQhPLQEQcEROZeZJNYdYYASq33J5RpUtIzkHd6U9FqFyI6y6QXVBbEen_VSfCrL6rZbicnuw26Qsk93OjBWCQFxFGFNZXLPmfym1QUQOm1p4f8Cv-rwgX-j8kV0rU.mp4?pkey=AAWW7SiK1ZZ6LI1TNi6TwvqqlxFrJoQu3Crir49zP0r8qnhgRTfaGnuMSWl0bI_qz9Y2weodyoF42Wu94OzIRXRZjdUCI_gWZzKSSoGqFmmXEdQPFUNfGo1OZi67bbkZB9Q&tag=1-1732283535-scn-0-e4s24iezo9-70e25bf0cd171140&clientCacheKey=3xcivivy3wcvih6_muvnus.mp4&di=6766caa1&bp=10121&tt=muvnus&ss=vp
7,#女子称喝维他奶发现如豆腐渣状有酸腐味 客服：已接到投诉，正在处理,#女子称喝维他奶发现如豆腐渣状有酸腐味 客服：已接到投诉，正在处理,#女子称喝维他奶发现如豆腐渣状有酸腐味,,http://v5.oskwai.com/ksc2/DkrLlD5zNhEK2pVF9XMGx_l2iNbaFj5wzR62S-qO2KLIhk267H6r5Ph-aetzB2F9c413y8Y-4cx5FTUFjnv_z_4peT9IPWmHxexHslMBXWXfF1l6Dk-Id8M1iF0B-pnJqBwap7RBpoKV2H6xbdf9BSHA8VvM7tKxzQjBV3weTmf-p8-e0AJI61KKeZBdvr6N.mp4?pkey=AAU2fUFaHKq-QQiiZBNgrD6rFjzUKmgjg_UTZNjF_S2eAu1pgETqJEPWPwpO0jme_L974_q3ai5ZzSHF_EFUyadl90GX3Hi4CluxWWcN1MEf1qobuuj9IffD05-bSu2mgJ4&tag=1-1732283535-scn-0-c0qt2xxrco-fff7c1a4106e6a27&clientCacheKey=3xhzdnq4zp5kryw_vnush3enh2.mp4&di=6766caa1&bp=10121&tt=vnush3enh2&ss=vp
8,10月12日北京， 买的牛奶有异物，店员：退款!顾客：虽然有问题 但解决态度好.,10月12日北京，#超市 买的牛奶有异物，店员：退款!顾客：虽然有问题 但解决态度好.#食品安全  #社会百态 ,#超市 | #食品安全 | #社会百态,http://hw.a.yximgs.com/bs2/ost/MTQ1OTc1NTQ3ODczXzE5MjMyMjUxNzA.m4a,http://v5.oskwai.com/ksc2/gzjVMZyWHFxQTakkUt8TbP80Qiz5bX0Paqo05keZH7gJjjI-f-LhYleNJmqIX2q3NfzeMVukjfxVK-MYAulITkTwxc_f2Ii83xeP_fwo5ik4rHS_pAGI2O-9dHRbEXn9.mp4?pkey=AAWwnaP0Htm1lbxzXv046lbOzBYYWMKWeAa-FBIGSp7ZxHGmED9HKgI3EJbXt6ngeTnzMBDc0eCt6bP4_sKOSocmLCmng5Gwg5FXirr_Qkjsbl3vS5ONS5N3PhDn9S_tKg4&tag=1-1732283539-scn-0-ij9cvkhl5a-8e977511c06990fa&clientCacheKey=3xh8v4ehwyginjq_e0e5362c&di=6766caa1&bp=10121&tt=v6UltraHQv7&ss=vp
9,女子喝#酸奶 喝出大量黑色#异物 ，一捏就碎，官方客服：可能是储存不当所致（来源：广东台触电新闻） #食品安全,女子喝#酸奶  喝出大量黑色#异物  ，一捏就碎，官方客服：可能是储存不当所致（来源：广东台触电新闻） #食品安全 ,#酸奶 | #异物 | #食品安全,http://ali2.a.yximgs.com/bs2/ost/MTA3MTIwNjMyOTA2XzE4MTQ5OTQ5ODA.m4a,http://v5.oskwai.com/ksc2/pVsvevptoMKEVZMkniZdHTyvokKVNB9gAXElz_yODbEe9AwrXdaUvo_uGsywXJ4mQQkKX6PdayUXH2WWVerfoMxXWK7-L8DIgrHCe5Whl_Zew-t0RJDar0gkrK8BM3T-9RRcGAOSjxgAJa8CIQvuuS4HCDLS93TEA2VIA9dhWURa8b5qwW3XONHBUjrNxiTA.mp4?pkey=AAWsu4ai1FLXkUsswMVnr7wJceHiXYUY6Gztn5z-bnP7WQOIYHHfW45ZC38ZAHT56oK1t7h6df0sF9Nt44dzzwYh9H2ZAoHFbjWfg0w8hmaa8Z6-FmQYGdfEBerH8JfMcUQ&tag=1-1732283539-scn-0-zj22f0uden-5cbc70ac6e2d9323&clientCacheKey=3xigyrtrd76d77e_v5UltraV6.mp4&di=6766caa1&bp=10121&tt=v5UltraV6&ss=vp
